Rack,Source,Rack,Destination,Volume,Tool
1,C5,1,F11,10,TS_50
1,D3,1,F11,10,TS_50
1,D6,1,F11,10,TS_50
1,A5,1,G11,10,TS_50
1,B2,1,G11,10,TS_50
1,B6,1,G11,10,TS_50
1,C5,1,G11,10,TS_50
1,D3,1,G11,10,TS_50
1,D6,1,G11,10,TS_50
1,A1,1,A1,10,TS_50
1,A1,1,A2,10,TS_50
1,A1,1,A3,10,TS_50
1,A1,1,A4,10,TS_50
1,A1,1,A5,10,TS_50
1,A1,1,A6,10,TS_50
1,A1,1,A7,10,TS_50
1,A1,1,A8,10,TS_50
1,A1,1,A9,10,TS_50
1,A1,1,A10,10,TS_50
1,A1,1,A11,10,TS_50
1,A1,1,A12,10,TS_50
1,A1,1,B1,10,TS_50
1,A1,1,C1,10,TS_50
1,A1,1,D1,10,TS_50
1,A1,1,E1,10,TS_50
1,A1,1,F1,10,TS_50
1,A1,1,G1,10,TS_50
1,A1,1,B12,10,TS_50
1,A1,1,C12,10,TS_50
1,A1,1,D12,10,TS_50
1,A1,1,E12,10,TS_50
1,A1,1,F12,10,TS_50
1,A1,1,G12,10,TS_50
1,A1,1,B12,10,TS_50
1,A1,1,H2,10,TS_50
1,A1,1,H3,10,TS_50
1,A1,1,H4,10,TS_50
1,A1,1,H5,10,TS_50
1,A1,1,H6,10,TS_50
1,A1,1,H7,10,TS_50
1,A1,1,H8,10,TS_50
1,A1,1,H9,10,TS_50
1,A1,1,H10,10,TS_50
1,A1,1,H11,10,TS_50
1,A1,1,H12,10,TS_50
1,A4,2,B2,10,TS_50
1,B3,2,B2,10,TS_50
1,B6,2,B2,10,TS_50
1,C5,2,B2,10,TS_50
1,D2,2,B2,10,TS_50
1,D6,2,B2,10,TS_50
1,A5,2,C2,10,TS_50
1,B2,2,C2,10,TS_50
1,C1,2,C2,10,TS_50
1,C5,2,C2,10,TS_50
1,D2,2,C2,10,TS_50
1,D7,2,C2,10,TS_50
1,A5,2,D2,10,TS_50
1,B3,2,D2,10,TS_50
1,C1,2,D2,10,TS_50
1,C4,2,D2,10,TS_50
1,D3,2,D2,10,TS_50
1,D7,2,D2,10,TS_50
1,A4,2,E2,10,TS_50
1,B2,2,E2,10,TS_50
1,C1,2,E2,10,TS_50
1,C4,2,E2,10,TS_50
1,D2,2,E2,10,TS_50
1,D6,2,E2,10,TS_50
1,A5,2,F2,10,TS_50
1,B2,2,F2,10,TS_50
1,C1,2,F2,10,TS_50
1,C4,2,F2,10,TS_50
1,D3,2,F2,10,TS_50
1,D6,2,F2,10,TS_50
1,A3,2,G2,10,TS_50
1,B1,2,G2,10,TS_50
1,B5,2,G2,10,TS_50
1,C3,2,G2,10,TS_50
1,D1,2,G2,10,TS_50
1,D5,2,G2,10,TS_50
1,A5,2,B3,10,TS_50
1,B3,2,B3,10,TS_50
1,B6,2,B3,10,TS_50
1,C5,2,B3,10,TS_50
1,D3,2,B3,10,TS_50
1,D6,2,B3,10,TS_50
1,A4,2,C3,10,TS_50
1,B2,2,C3,10,TS_50
1,B6,2,C3,10,TS_50
1,C5,2,C3,10,TS_50
1,D2,2,C3,10,TS_50
1,D7,2,C3,10,TS_50
1,A4,2,D3,10,TS_50
1,B3,2,D3,10,TS_50
1,C1,2,D3,10,TS_50
1,C5,2,D3,10,TS_50
1,D3,2,D3,10,TS_50
1,D6,2,D3,10,TS_50
1,A5,2,E3,10,TS_50
1,B2,2,E3,10,TS_50
1,B6,2,E3,10,TS_50
1,C5,2,E3,10,TS_50
1,D2,2,E3,10,TS_50
1,D6,2,E3,10,TS_50
1,A5,2,F3,10,TS_50
1,B2,2,F3,10,TS_50
1,C1,2,F3,10,TS_50
1,C4,2,F3,10,TS_50
1,D2,2,F3,10,TS_50
1,D7,2,F3,10,TS_50
1,A5,2,G3,10,TS_50
1,B3,2,G3,10,TS_50
1,C1,2,G3,10,TS_50
1,C5,2,G3,10,TS_50
1,D3,2,G3,10,TS_50
1,D7,2,G3,10,TS_50
1,A3,2,B4,10,TS_50
1,B1,2,B4,10,TS_50
1,B5,2,B4,10,TS_50
1,C3,2,B4,10,TS_50
1,D1,2,B4,10,TS_50
1,D5,2,B4,10,TS_50
1,A3,2,C4,10,TS_50
1,B1,2,C4,10,TS_50
1,B5,2,C4,10,TS_50
1,C3,2,C4,10,TS_50
1,D1,2,C4,10,TS_50
1,D5,2,C4,10,TS_50
1,A4,2,D4,10,TS_50
1,B3,2,D4,10,TS_50
1,B6,2,D4,10,TS_50
1,C4,2,D4,10,TS_50
1,D3,2,D4,10,TS_50
1,D7,2,D4,10,TS_50
1,A3,2,E4,10,TS_50
1,B1,2,E4,10,TS_50
1,B5,2,E4,10,TS_50
1,C3,2,E4,10,TS_50
1,D1,2,E4,10,TS_50
1,D5,2,E4,10,TS_50
1,A4,2,F4,10,TS_50
1,B3,2,F4,10,TS_50
1,B6,2,F4,10,TS_50
1,C5,2,F4,10,TS_50
1,D3,2,F4,10,TS_50
1,D7,2,F4,10,TS_50
1,A3,2,G4,10,TS_50
1,B1,2,G4,10,TS_50
1,B5,2,G4,10,TS_50
1,C3,2,G4,10,TS_50
1,D1,2,G4,10,TS_50
1,D5,2,G4,10,TS_50
1,A5,2,B5,10,TS_50
1,B3,2,B5,10,TS_50
1,C1,2,B5,10,TS_50
1,C4,2,B5,10,TS_50
1,D2,2,B5,10,TS_50
1,D6,2,B5,10,TS_50
1,A5,2,C5,10,TS_50
1,B2,2,C5,10,TS_50
1,B6,2,C5,10,TS_50
1,C4,2,C5,10,TS_50
1,D3,2,C5,10,TS_50
1,D7,2,C5,10,TS_50
1,A4,2,D5,10,TS_50
1,B3,2,D5,10,TS_50
1,C1,2,D5,10,TS_50
1,C4,2,D5,10,TS_50
1,D2,2,D5,10,TS_50
1,D7,2,D5,10,TS_50
1,A4,2,E5,10,TS_50
1,B3,2,E5,10,TS_50
1,B6,2,E5,10,TS_50
1,C4,2,E5,10,TS_50
1,D2,2,E5,10,TS_50
1,D6,2,E5,10,TS_50
1,A5,2,F5,10,TS_50
1,B3,2,F5,10,TS_50
1,B6,2,F5,10,TS_50
1,C5,2,F5,10,TS_50
1,D2,2,F5,10,TS_50
1,D7,2,F5,10,TS_50
1,A4,2,G5,10,TS_50
1,B2,2,G5,10,TS_50
1,B6,2,G5,10,TS_50
1,C4,2,G5,10,TS_50
1,D2,2,G5,10,TS_50
1,D7,2,G5,10,TS_50
1,A4,2,B6,10,TS_50
1,B3,2,B6,10,TS_50
1,C1,2,B6,10,TS_50
1,C4,2,B6,10,TS_50
1,D3,2,B6,10,TS_50
1,D6,2,B6,10,TS_50
1,A4,2,C6,10,TS_50
1,B2,2,C6,10,TS_50
1,B6,2,C6,10,TS_50
1,C4,2,C6,10,TS_50
1,D3,2,C6,10,TS_50
1,D6,2,C6,10,TS_50
1,A5,2,D6,10,TS_50
1,B3,2,D6,10,TS_50
1,C1,2,D6,10,TS_50
1,C5,2,D6,10,TS_50
1,D2,2,D6,10,TS_50
1,D6,2,D6,10,TS_50
1,A4,2,E6,10,TS_50
1,B2,2,E6,10,TS_50
1,B6,2,E6,10,TS_50
1,C5,2,E6,10,TS_50
1,D3,2,E6,10,TS_50
1,D6,2,E6,10,TS_50
1,A4,2,F6,10,TS_50
1,B2,2,F6,10,TS_50
1,C1,2,F6,10,TS_50
1,C5,2,F6,10,TS_50
1,D3,2,F6,10,TS_50
1,D7,2,F6,10,TS_50
1,A5,2,G6,10,TS_50
1,B2,2,G6,10,TS_50
1,B6,2,G6,10,TS_50
1,C4,2,G6,10,TS_50
1,D2,2,G6,10,TS_50
1,D6,2,G6,10,TS_50
1,A5,2,B7,10,TS_50
1,B2,2,B7,10,TS_50
1,C1,2,B7,10,TS_50
1,C5,2,B7,10,TS_50
1,D3,2,B7,10,TS_50
1,D6,2,B7,10,TS_50
1,A5,2,C7,10,TS_50
1,B3,2,C7,10,TS_50
1,B6,2,C7,10,TS_50
1,C4,2,C7,10,TS_50
1,D2,2,C7,10,TS_50
1,D7,2,C7,10,TS_50
1,A5,2,D7,10,TS_50
1,B3,2,D7,10,TS_50
1,B6,2,D7,10,TS_50
1,C4,2,D7,10,TS_50
1,D3,2,D7,10,TS_50
1,D6,2,D7,10,TS_50
1,A4,2,E7,10,TS_50
1,B2,2,E7,10,TS_50
1,C1,2,E7,10,TS_50
1,C4,2,E7,10,TS_50
1,D3,2,E7,10,TS_50
1,D7,2,E7,10,TS_50
1,A5,2,F7,10,TS_50
1,B2,2,F7,10,TS_50
1,B6,2,F7,10,TS_50
1,C5,2,F7,10,TS_50
1,D3,2,F7,10,TS_50
1,D7,2,F7,10,TS_50
1,A3,2,G7,10,TS_50
1,B1,2,G7,10,TS_50
1,B5,2,G7,10,TS_50
1,C3,2,G7,10,TS_50
1,D1,2,G7,10,TS_50
1,D5,2,G7,10,TS_50
1,A4,2,B8,10,TS_50
1,B2,2,B8,10,TS_50
1,C1,2,B8,10,TS_50
1,C5,2,B8,10,TS_50
1,D2,2,B8,10,TS_50
1,D6,2,B8,10,TS_50
1,A4,2,C8,10,TS_50
1,B3,2,C8,10,TS_50
1,C1,2,C8,10,TS_50
1,C5,2,C8,10,TS_50
1,D2,2,C8,10,TS_50
1,D7,2,C8,10,TS_50
1,A4,2,D8,10,TS_50
1,B2,2,D8,10,TS_50
1,B6,2,D8,10,TS_50
1,C4,2,D8,10,TS_50
1,D3,2,D8,10,TS_50
1,D7,2,D8,10,TS_50
1,A3,2,E8,10,TS_50
1,B1,2,E8,10,TS_50
1,B5,2,E8,10,TS_50
1,C3,2,E8,10,TS_50
1,D1,2,E8,10,TS_50
1,D5,2,E8,10,TS_50
1,A5,2,F8,10,TS_50
1,B3,2,F8,10,TS_50
1,B6,2,F8,10,TS_50
1,C5,2,F8,10,TS_50
1,D3,2,F8,10,TS_50
1,D7,2,F8,10,TS_50
1,A4,2,G8,10,TS_50
1,B3,2,G8,10,TS_50
1,C1,2,G8,10,TS_50
1,C5,2,G8,10,TS_50
1,D3,2,G8,10,TS_50
1,D7,2,G8,10,TS_50
1,A4,2,B9,10,TS_50
1,B3,2,B9,10,TS_50
1,C1,2,B9,10,TS_50
1,C4,2,B9,10,TS_50
1,D2,2,B9,10,TS_50
1,D6,2,B9,10,TS_50
1,A4,2,C9,10,TS_50
1,B2,2,C9,10,TS_50
1,C1,2,C9,10,TS_50
1,C4,2,C9,10,TS_50
1,D2,2,C9,10,TS_50
1,D7,2,C9,10,TS_50
1,A4,2,D9,10,TS_50
1,B3,2,D9,10,TS_50
1,B6,2,D9,10,TS_50
1,C5,2,D9,10,TS_50
1,D2,2,D9,10,TS_50
1,D7,2,D9,10,TS_50
1,A4,2,E9,10,TS_50
1,B3,2,E9,10,TS_50
1,C1,2,E9,10,TS_50
1,C5,2,E9,10,TS_50
1,D2,2,E9,10,TS_50
1,D6,2,E9,10,TS_50
1,A3,2,F9,10,TS_50
1,B1,2,F9,10,TS_50
1,B5,2,F9,10,TS_50
1,C3,2,F9,10,TS_50
1,D1,2,F9,10,TS_50
1,D5,2,F9,10,TS_50
1,A3,2,G9,10,TS_50
1,B1,2,G9,10,TS_50
1,B5,2,G9,10,TS_50
1,C3,2,G9,10,TS_50
1,D1,2,G9,10,TS_50
1,D5,2,G9,10,TS_50
1,A4,2,B10,10,TS_50
1,B2,2,B10,10,TS_50
1,B6,2,B10,10,TS_50
1,C5,2,B10,10,TS_50
1,D3,2,B10,10,TS_50
1,D7,2,B10,10,TS_50
1,A5,2,C10,10,TS_50
1,B2,2,C10,10,TS_50
1,C1,2,C10,10,TS_50
1,C5,2,C10,10,TS_50
1,D2,2,C10,10,TS_50
1,D6,2,C10,10,TS_50
1,A4,2,D10,10,TS_50
1,B2,2,D10,10,TS_50
1,B6,2,D10,10,TS_50
1,C5,2,D10,10,TS_50
1,D2,2,D10,10,TS_50
1,D6,2,D10,10,TS_50
1,A4,2,E10,10,TS_50
1,B3,2,E10,10,TS_50
1,B6,2,E10,10,TS_50
1,C4,2,E10,10,TS_50
1,D3,2,E10,10,TS_50
1,D6,2,E10,10,TS_50
1,A4,2,F10,10,TS_50
1,B3,2,F10,10,TS_50
1,B6,2,F10,10,TS_50
1,C4,2,F10,10,TS_50
1,D2,2,F10,10,TS_50
1,D7,2,F10,10,TS_50
1,A4,2,G10,10,TS_50
1,B2,2,G10,10,TS_50
1,C1,2,G10,10,TS_50
1,C5,2,G10,10,TS_50
1,D3,2,G10,10,TS_50
1,D6,2,G10,10,TS_50
1,A3,2,B11,10,TS_50
1,B1,2,B11,10,TS_50
1,B5,2,B11,10,TS_50
1,C3,2,B11,10,TS_50
